"userfile_path","license_name"
"AUTHORS","NOLICENSE"
"config.sub","gpl-2.0"
"run_this_example.sh","NOLICENSE"
"LICENSE","NOLICENSE"
"Makefile.in","gpl-2.0"
"configure.ac","NOLICENSE"
"config.guess","gpl-2.0"
"flags.guess","NOLICENSE"
"install-sh","mit"
"configure","public-domain"
"README.md","NOLICENSE"
"run_default_example_internal_mesher.sh","NOLICENSE"
"run_default_example_external_mesh.sh","NOLICENSE"
"EXAMPLES/process_DATA_Par_files_to_update_their_parameters_from_a_master.py","NOLICENSE"
"EXAMPLES/process_DATA_Par_files_to_update_their_format_when_new_parameters_are_added.bash","NOLICENSE"
"EXAMPLES/view_all_parameter_files_to_modify_them.bash","NOLICENSE"
"EXAMPLES/README","NOLICENSE"
"EXAMPLES/change_paths_parfiles.sh","NOLICENSE"
"EXAMPLES/view_all_run_this_example_scripts_to_modify_them.bash","NOLICENSE"
"EXAMPLES/change_something_in_all_the_Par_files_automatically.bash","NOLICENSE"
"EXAMPLES/CPML_examples/README","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/run_this_example.sh","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/this_regular_mesh_contains_36x36x16_elements.txt","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/plotall_comparison_seismograms.gnu","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/block_mesh-anisotropic.py","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/README","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/here_are_the_thicknesses_to_use_to_define_the_CPML_layers.txt","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/MESH-default/mesh_file","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/MESH-default/free_or_absorbing_surface_file_zmax","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/MESH-default/absorbing_surface_file_xmin","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/MESH-default/nodes_coords_file","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/MESH-default/absorbing_surface_file_bottom","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/MESH-default/absorbing_surface_file_ymin","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/MESH-default/nummaterial_velocity_file","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/MESH-default/absorbing_surface_file_ymax","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/MESH-default/absorbing_cpml_file","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/MESH-default/materials_file","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/MESH-default/absorbing_surface_file_xmax","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/DATA/Par_file","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/DATA/STATIONS_ADJOINT","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/DATA/STATIONS","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/DATA/FORCESOLUTION","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/DATA/CMTSOLUTION","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_acoustic_absorbing_CPML_6sides/REF_SEIS/plot_these_seismograms_with_gnuplot.gnu","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_elastic_absorbing_CPML_5sides/run_this_example.sh","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_elastic_absorbing_CPML_5sides/this_regular_mesh_contains_36x36x16_elements.txt","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_elastic_absorbing_CPML_5sides/plotall_comparison_seismograms.gnu","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_elastic_absorbing_CPML_5sides/block_mesh-anisotropic.py","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_elastic_absorbing_CPML_5sides/README","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_elastic_absorbing_CPML_5sides/here_are_the_thicknesses_to_use_to_define_the_CPML_layers.txt","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_elastic_absorbing_CPML_5sides/MESH-default/mesh_file","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_elastic_absorbing_CPML_5sides/MESH-default/free_or_absorbing_surface_file_zmax","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_elastic_absorbing_CPML_5sides/MESH-default/absorbing_surface_file_xmin","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_elastic_absorbing_CPML_5sides/MESH-default/nodes_coords_file","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_elastic_absorbing_CPML_5sides/MESH-default/absorbing_surface_file_bottom","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_elastic_absorbing_CPML_5sides/MESH-default/absorbing_surface_file_ymin","NOLICENSE"
"EXAMPLES/CPML_examples/homogeneous_halfspace_HEX8_elastic_absorbing_CPML_5sides/MESH-default/nummaterial_velocity_file","NOLICENSE"
