id,package_name,package_name_true
1,pylith,pylith
6,gale,gale
17,specfem3d-geotech,specfem3d-geotech
52,pythia,pythia
70,seismic_cpml,seismic_cpml
76,citcoms,citcoms
106,relax,relax
107,exchanger,exchanger
108,conman,conman
159,mineos,mineos
198,specfem1d,specfem1d
212,aspect,aspect
243,snac,snac
253,hc,hc
254,cigma,cigma
268,lithomop,lithomop
272,selen,selen
273,specfem2d,specfem2d
274,flexwin,flexwin
278,ellipsis3d,ellipsis3d
282,mag,mag
284,plasti,plasti
285,calypso,calypso
287,citcomcu,citcomcu
288,specfem3d-globe,specfem3d-globe
289,specfem3d,specfem3d
3079,packages,packages
9324,vc,vc
9344,nemesis,nemesis
9357,pylith_installer,pylith_installer
10024,burnman,burnman
10041,specfem3d_geotech,specfem3d_geotech
10618,Gale-2_0_1.tgz,gale
10642,specfem3d_globe,specfem3d-globe
10775,axisem,axisem
10832,spatialdata-1.9.2.tgz,spatialdata
10851,sw4,sw4
12088,Exchanger-1.0.1.tar.gz,exchanger
12089,pylith-1.8.0-darwin-10.5.tgz,pylith
12093,specfem3d_geotech_v1.1b.tar.gz,specfem3d_geotech
12683,pylith-1.9.0-darwin-10.6.8.tgz,pylith
12915,cigma-Linux32-1_0_0.tgz,cigma
13108,HC-MacPPC-1_0.dmg,hc
13110,petsc-dev-pylith-1.7.1.tgz,petsc
13111,relax-linux32-1_0_3.tgz,relax
13113,pylith-1.8.0.tgz,gale
13212,Gale-Mac10_4-1_6_1.dmg,gale
13549,pylith-1.8.0-linux-x86_64.tgz,pylith
13550,relax-1_0_3.tgz,relax
13736,SPECFEM2D-6.1.5.tar.gz,specfem2d
13797,HC-1_0.tgz,hc
13889,petsc-pylith-1.9.0.tgz,petsc
14184,Relax-1_0_4.tgz,relax
14242,hc-macppc-1_0.dmg,hc
14243,pylith-1.7.1-linux-i686.tgz,pylith
14361,cigma-LinuxAMD64-1_0_0.tgz,cigma
14488,pylith-installer-1.9.0-0.tgz,pylith_installer
14630,Relax-Linux32-1_0_4.tgz,relax
14646,Gale-1_6_1.tgz,gale
14649,pylith-1.8.0-centos-x86_64.tgz,pylith
15042,Relax-Linux64-1_0_4.tgz,relax
15291,Gale-Linux64-1_6_1.tgz,gale
15541,cigma-MacPPC-1_0_0.dmg,cigma
15661,pylith-1.9.0-centos-x86_64.tgz,pylith
15686,spatialdata-1.9.0.tgz,spatialdata
17374,petsc-dev-pylith-1.8.0.tgz,petsc
17860,pylith-1.9.0-darwin-10.5.tgz,pylith
17945,pythia-0.8.1.15.tar.gz,pythia
18903,Gale-Linux64-2_0_1.tgz,gale
18924,pylith-1.9.0-linux-i686.tgz,pylith
18966,pylith-1.9.0.tgz,pylith
19641,specfem3d_globe_v5.1.5.tar.gz,specfem3d_globe
20049,Relax-Centos5-1_0_4.tgz,relax
20050,CitcomS-cookbook8-restart.tar.gz,citcoms
20080,hc-1_0.tgz,hc
20081,pylith-1.8.0-darwin-10.6.8.tgz,pylith
20084,Mineos-Linux32-1_0_2.tgz,mineos
20085,SNAC-1.2.0.tar.gz,snac
20839,Relax-1_0_3.tgz,relax
20856,pylith-1.7.1.tgz,pylith
21180,HC-MacIntel-1_0.dmg,hc
21763,Relax-Mac-1_0_4.dmg,relax
22017,Relax-Linux32-1_0_3.tgz,relax
22019,relax-mac-1_0_3.dmg,relax
24800,CitcomCU-1.0.2-br-inflow.tar.gz,citcomcu
24801,CitcomCU-1.0.3.tar.gz,citcomcu
24802,CitcomS-3.2.0.tar.gz,citcoms
24804,ConMan-2.0.0.tar.gz,conman
24806,FLEXWIN-1.0.1.tar.gz,flexwin
24808,HC-Linux32-1_0.tgz,hc
24809,HC-LinuxAMD64-1_0.tgz,hc
24812,HC-Win32-1_0.zip,hc
24813,MAG-1.0.2.tar.gz,mag
24815,Mineos-Linux64-1_0_2.tgz,mineos
24816,Mineos-Mac10_4-1_0_2.dmg,mineos
